epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,5183.31,0.81889,0.49278,1.10672,0.83039,0.9318,0.86487,0.66652,0.91711,0.47673,1.12923,0.000307139,0.000307139,0.000307139
93,5239.61,0.81935,0.48532,1.10026,0.90249,0.8907,0.94768,0.7227,0.90752,0.47077,1.11536,0.000302063,0.000302063,0.000302063
94,5295.07,0.82252,0.48547,1.10693,0.81179,0.81094,0.86558,0.65602,0.90873,0.47811,1.11531,0.000296988,0.000296988,0.000296988
95,5350.82,0.80976,0.4824,1.10049,0.88986,0.85608,0.94651,0.70982,0.91574,0.48446,1.13287,0.000291912,0.000291912,0.000291912
96,5406.91,0.81318,0.48087,1.09821,0.84383,0.91411,0.87424,0.66215,0.92303,0.47932,1.12634,0.000286837,0.000286837,0.000286837
97,5462.85,0.81335,0.48291,1.10186,0.85546,0.91063,0.89333,0.66536,0.91422,0.47512,1.11706,0.000281762,0.000281762,0.000281762
98,5518.1,0.80881,0.47613,1.09476,0.77465,0.95284,0.8663,0.66568,0.90477,0.46389,1.10229,0.000276686,0.000276686,0.000276686
99,5573.42,0.80088,0.47485,1.09104,0.80852,0.82351,0.85799,0.6632,0.9049,0.47033,1.11652,0.000271611,0.000271611,0.000271611
100,5629.28,0.80269,0.47439,1.08714,0.8336,0.92602,0.8744,0.67498,0.91261,0.47633,1.11871,0.000266535,0.000266535,0.000266535
101,5684.59,0.79118,0.4721,1.08798,0.83858,0.92518,0.87379,0.67748,0.90476,0.47486,1.11629,0.00026146,0.00026146,0.00026146
102,5739.82,0.79631,0.47211,1.09076,0.87414,0.90437,0.89251,0.67838,0.90886,0.47621,1.12375,0.000256385,0.000256385,0.000256385
103,5795.68,0.78699,0.46529,1.08309,0.89141,0.92668,0.94838,0.6717,0.91047,0.47927,1.11738,0.000251309,0.000251309,0.000251309
104,5851.84,0.79257,0.46854,1.08812,0.84385,0.92738,0.87466,0.67541,0.90308,0.46886,1.1268,0.000246234,0.000246234,0.000246234
105,5907.37,0.79026,0.46571,1.08859,0.88698,0.88243,0.89436,0.69105,0.90353,0.47395,1.10901,0.000241158,0.000241158,0.000241158
106,5962.85,0.78506,0.46218,1.08154,0.91575,0.91049,0.9488,0.73741,0.91226,0.46822,1.11994,0.000236083,0.000236083,0.000236083
107,6018.82,0.78716,0.46226,1.08333,0.91995,0.87784,0.94731,0.69116,0.91371,0.47582,1.12781,0.000231008,0.000231008,0.000231008
108,6074.69,0.77643,0.45955,1.07838,0.9316,0.87159,0.94808,0.69023,0.91591,0.47006,1.12622,0.000225932,0.000225932,0.000225932
109,6129.95,0.7764,0.4564,1.07403,0.84478,0.917,0.88886,0.67868,0.92063,0.48181,1.11957,0.000220857,0.000220857,0.000220857
