epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4530.39,0.86859,0.52716,1.13355,0.90568,0.86938,0.95078,0.73572,0.90724,0.47821,1.10094,0.00039342,0.00039342,0.00039342
76,4590.82,0.87222,0.52619,1.13351,0.83565,0.91561,0.87308,0.66942,0.91974,0.48572,1.12602,0.000388345,0.000388345,0.000388345
77,4649.72,0.86475,0.52316,1.12995,0.83237,0.90936,0.86676,0.66598,0.91338,0.47967,1.11124,0.00038327,0.00038327,0.00038327
78,4710.34,0.86758,0.51973,1.12867,0.81148,0.92842,0.86293,0.66449,0.9099,0.47818,1.11284,0.000378194,0.000378194,0.000378194
79,4770.83,0.85818,0.51744,1.12823,0.85024,0.87649,0.86041,0.66247,0.91318,0.48943,1.12471,0.000373119,0.000373119,0.000373119
80,4830.58,0.85436,0.51532,1.12224,0.83368,0.91264,0.85637,0.65658,0.90875,0.48383,1.10439,0.000368043,0.000368043,0.000368043
81,4891.25,0.85689,0.51547,1.12136,0.8395,0.89463,0.86792,0.67205,0.91302,0.49328,1.10579,0.000362968,0.000362968,0.000362968
82,4950.43,0.8494,0.51198,1.12094,0.84423,0.90263,0.85681,0.65234,0.90535,0.48924,1.11462,0.000357893,0.000357893,0.000357893
83,5010.13,0.85281,0.51446,1.12437,0.86414,0.88817,0.87212,0.6648,0.91146,0.48506,1.11595,0.000352817,0.000352817,0.000352817
84,5069.93,0.84143,0.51005,1.11927,0.86866,0.89246,0.89289,0.6844,0.92306,0.48395,1.11742,0.000347742,0.000347742,0.000347742
85,5129.27,0.85798,0.51941,1.12047,0.87857,0.86709,0.94711,0.7301,0.9128,0.48014,1.10635,0.000342666,0.000342666,0.000342666
86,5188.91,0.84677,0.50621,1.1172,0.91979,0.87911,0.94651,0.7204,0.91431,0.48683,1.11472,0.000337591,0.000337591,0.000337591
87,5247.67,0.84596,0.5062,1.11903,0.90207,0.87317,0.9446,0.69748,0.91777,0.4857,1.1249,0.000332516,0.000332516,0.000332516
88,5307.61,0.83378,0.502,1.11503,0.90499,0.9033,0.94614,0.72644,0.9261,0.48264,1.13204,0.00032744,0.00032744,0.00032744
89,5366.79,0.83324,0.49833,1.11036,0.8704,0.89826,0.88524,0.67267,0.92152,0.49154,1.11799,0.000322365,0.000322365,0.000322365
90,5426.12,0.83131,0.49885,1.11379,0.89454,0.86607,0.94625,0.71048,0.91626,0.48186,1.12931,0.000317289,0.000317289,0.000317289
91,5485.86,0.83773,0.60599,1.12345,0.90785,0.86411,0.9463,0.7302,0.9245,0.48387,1.14722,0.000312214,0.000312214,0.000312214
92,5545.1,0.84078,0.4952,1.12069,0.91487,0.88573,0.94804,0.69029,0.91369,0.48043,1.12842,0.000307139,0.000307139,0.000307139
93,5604.93,0.82827,0.49073,1.11063,0.87027,0.88737,0.89157,0.66896,0.91532,0.47672,1.13475,0.000302063,0.000302063,0.000302063
